key,en,fr,zh,ja,ko,zh_TW,ru,pl,es,pt,de,tr,it
GUI_FULL_TIP,Tip: Use checkboxes to select multiple items,Astuce : utilisez les cases à cocher pour sélectionner plusieurs éléments,提示：勾选复选框可批量选择,ヒント: チェックボックスで複数項目を選択できます,팁: 체크박스로 여러 항목을 선택하세요,提示：勾選核取方塊可批次選取,Подсказка: используйте флажки для выбора нескольких элементов,"Wskazówka: zaznacz pola wyboru, aby wybrać kilka elementów",Sugerencia: usa las casillas para seleccionar varios elementos,Dica: use as caixas de seleção para escolher vários itens,Tipp: Mit den Kontrollkästchen mehrere Einträge auswählen,İpucu: Birden fazla öğe seçmek için onay kutularını kullanın,Suggerimento: usa le caselle per selezionare più elementi
MENU_QUICK_PHRASE,Quick Phrases,Phrases rapides,快速短语,クイックフレーズ,빠른 문구,快速短語,Быстрые фразы,Szybkie frazy,Frases rápidas,Frases rápidas,Schnelle Phrasen,Hızlı İfadeler,Frasi rapide
MENU_QUICK_PHRASE_ENABLE,Enable shortcut,Activer le raccourci,启用快捷键,ショートカットを有効化,단축키 활성화,啟用快速鍵,Включить сочетание клавиш,Włącz skrót,Activar atajo,Ativar atalho,Tastenkürzel aktivieren,Kısayolu etkinleştir,Abilita scorciatoia
MENU_QUICK_PHRASE_MANAGE,Manage phrases...,Gérer les phrases...,管理短语...,フレーズを管理...,문구 관리...,管理短語...,Управление фразами...,Zarządzaj frazami...,Administrar frases...,Gerenciar frases...,Phrasen verwalten...,İfadeleri yönet...,Gestisci frasi...
GUI_QUICK_PHRASE_TITLE,Quick Phrases,Phrases rapides,快速短语,クイックフレーズ,빠른 문구,快速短語,Быстрые фразы,Szybkie frazy,Frases rápidas,Frases rápidas,Schnelle Phrasen,Hızlı İfadeler,Frasi rapide
GUI_QUICK_PHRASE_SUBTITLE,Search by name or content. Press Enter or double-click to insert.,Recherchez par nom ou contenu. Appuyez sur Entrée ou double-cliquez pour insérer.,按名称或内容搜索。按 Enter 或双击插入。,名前または内容で検索。Enter またはダブルクリックで挿入します。,이름 또는 내용으로 검색하세요. Enter 또는 더블클릭으로 삽입합니다.,依名稱或內容搜尋。按 Enter 或雙擊以插入。,Поиск по названию или содержимому. Нажмите Enter или дважды щёлкните для вставки.,"Wyszukuj po nazwie lub treści. Naciśnij Enter lub kliknij dwukrotnie, aby wstawić.",Busca por nombre o contenido. Pulsa Enter o haz doble clic para insertar.,Pesquise por nome ou conteúdo. Pressione Enter ou clique duas vezes para inserir.,Nach Name oder Inhalt suchen. Mit Enter oder Doppelklick einfügen.,Ada veya içeriğe göre arayın. Eklemek için Enter'a basın veya çift tıklayın.,Cerca per nome o contenuto. Premi Invio o fai doppio clic per inserire.
GUI_QUICK_PHRASE_COL_NAME,Name,Nom,名称,名前,이름,名稱,Название,Nazwa,Nombre,Nome,Name,Ad,Nome
GUI_QUICK_PHRASE_COL_CATEGORY,Category,Catégorie,类别,カテゴリ,범주,類別,Категория,Kategoria,Categoría,Categoria,Kategorie,Kategori,Categoria
GUI_QUICK_PHRASE_COL_PREVIEW,Preview,Aperçu,预览,プレビュー,미리보기,預覽,Предпросмотр,Podgląd,Vista previa,Pré-visualização,Vorschau,Önizleme,Anteprima
GUI_QUICK_PHRASE_USE,Use,Utiliser,使用,使用,사용,使用,Использовать,Użyj,Usar,Usar,Verwenden,Kullan,Usa
GUI_QUICK_PHRASE_MANAGE,Manage,Gérer,管理,管理,관리,管理,Управление,Zarządzaj,Administrar,Gerenciar,Verwalten,Yönet,Gestisci
GUI_QUICK_PHRASE_EMPTY,No saved quick phrases. Use Manage to create one.,Aucune phrase rapide enregistrée. Utilisez « Gérer » pour en créer une.,暂无保存的快速短语。使用“管理”创建一个。,保存されたクイックフレーズはありません。「管理」から作成できます。,저장된 빠른 문구가 없습니다. “관리”에서 새로 만들 수 있습니다.,尚無已儲存的快速短語。請使用「管理」建立。,Нет сохранённых быстрых фраз. Создайте их через «Управление».,"Brak zapisanych szybkich fraz. Użyj „Zarządzaj”, aby utworzyć nową.",No hay frases rápidas guardadas. Usa «Administrar» para crear una.,Não há frases rápidas salvas. Use “Gerenciar” para criar uma.,Keine gespeicherten schnellen Phrasen. Unter „Verwalten“ können Sie eine anlegen.,Kayıtlı hızlı ifade yok. Oluşturmak için “Yönet”i kullanın.,Nessuna frase rapida salvata. Usa «Gestisci» per crearne una.
GUI_QUICK_PHRASE_STATUS,{1} quick phrase(s) available.,{1} phrase(s) rapide(s) disponible(s).,可用快速短语：{1} 个。,利用可能なクイックフレーズ：{1} 件。,사용 가능한 빠른 문구: {1}개.,可用的快速短語：{1} 個。,Доступно быстрых фраз: {1}.,Dostępne szybkie frazy: {1}.,Frases rápidas disponibles: {1}.,Frases rápidas disponíveis: {1}.,Schnelle Phrasen verfügbar: {1}.,Kullanılabilir hızlı ifadeler: {1}.,Frasi rapide disponibili: {1}.
GUI_QUICK_PHRASE_VARIABLE_TITLE,Fill phrase variables,Renseigner les variables de la phrase,填写短语变量,フレーズの変数を入力,문구 변수 입력,填寫短語變數,Заполнить переменные фразы,Uzupełnij zmienne frazy,Completa las variables de la frase,Preencher variáveis da frase,Phrasenvariablen ausfüllen,İfade değişkenlerini doldur,Compila le variabili della frase
GUI_QUICK_PHRASE_VARIABLE_HINT,Fields follow first appearance order; repeated names are requested once.,Les champs suivent l’ordre de première apparition ; les noms répétés ne sont demandés qu’une fois.,字段按首次出现顺序排列；重复变量只需填写一次。,項目は最初に出現した順に並び、同じ名前の変数は1回だけ入力します。,항목은 처음 나타난 순서를 따르며 반복되는 변수 이름은 한 번만 입력합니다.,欄位依首次出現順序排列；重複的變數只需輸入一次。,Поля идут в порядке первого появления; повторяющиеся имена вводятся один раз.,Pola są zgodne z kolejnością pierwszego wystąpienia; powtarzane nazwy są pytane tylko raz.,Los campos siguen el orden de la primera aparición; los nombres repetidos se solicitan una sola vez.,Os campos seguem a ordem da primeira aparição; nomes repetidos são solicitados apenas uma vez.,Die Felder folgen der Reihenfolge ihres ersten Auftretens; gleiche Namen werden nur einmal abgefragt.,Alanlar ilk görünme sırasını izler; tekrarlanan adlar yalnızca bir kez istenir.,I campi seguono l’ordine della prima occorrenza; i nomi ripetuti vengono richiesti una sola volta.
GUI_QUICK_PHRASE_MANAGER_TITLE,Quick Phrase Manager,Gestionnaire de phrases rapides,快速短语管理,クイックフレーズ管理,빠른 문구 관리,快速短語管理,Управление быстрыми фразами,Menedżer szybkich fraz,Administrador de frases rápidas,Gerenciador de frases rápidas,Manager für schnelle Phrasen,Hızlı İfade Yöneticisi,Gestore frasi rapide
GUI_QUICK_PHRASE_MANAGER_SUBTITLE,"Create, edit, reorder, categorize, and delete local quick phrases.","Créez, modifiez, réordonnez, catégorisez et supprimez des phrases rapides locales.",创建、编辑、排序、分类和删除本地快速短语。,ローカルのクイックフレーズを作成、編集、並べ替え、分類、削除します。,"로컬 빠른 문구를 생성, 편집, 정렬, 분류 및 삭제합니다.",建立、編輯、重新排序、分類及刪除本機快速短語。,"Создание, редактирование, сортировка, категоризация и удаление локальных быстрых фраз.","Twórz, edytuj, porządkuj, kategoryzuj i usuwaj lokalne szybkie frazy.","Crea, edita, reordena, clasifica y elimina frases rápidas locales.","Crie, edite, reordene, categorize e exclua frases rápidas locais.","Lokale schnelle Phrasen erstellen, bearbeiten, sortieren, kategorisieren und löschen.","Yerel hızlı ifadeleri oluşturun, düzenleyin, sıralayın, kategorilere ayırın ve silin.","Crea, modifica, riordina, categorizza ed elimina frasi rapide locali."
GUI_QUICK_PHRASE_NEW,New,Nouveau,新建,新規,새로 만들기,新增,Создать,Nowa,Nueva,Nova,Neu,Yeni,Nuova
GUI_QUICK_PHRASE_EDIT,Edit,Modifier,编辑,編集,편집,編輯,Изменить,Edytuj,Editar,Editar,Bearbeiten,Düzenle,Modifica
GUI_QUICK_PHRASE_DELETE,Delete,Supprimer,删除,削除,삭제,刪除,Удалить,Usuń,Eliminar,Excluir,Löschen,Sil,Elimina
GUI_QUICK_PHRASE_MOVE_UP,Move Up,Monter,上移,上へ,위로 이동,上移,Вверх,W górę,Subir,Mover para cima,Nach oben,Yukarı taşı,Sposta su
GUI_QUICK_PHRASE_MOVE_DOWN,Move Down,Descendre,下移,下へ,아래로 이동,下移,Вниз,W dół,Bajar,Mover para baixo,Nach unten,Aşağı taşı,Sposta giù
GUI_QUICK_PHRASE_NAME,Name,Nom,名称,名前,이름,名稱,Название,Nazwa,Nombre,Nome,Name,Ad,Nome
GUI_QUICK_PHRASE_CATEGORY,Category,Catégorie,类别,カテゴリ,범주,類別,Категория,Kategoria,Categoría,Categoria,Kategorie,Kategori,Categoria
GUI_QUICK_PHRASE_TEMPLATE,Template,Modèle,模板,テンプレート,템플릿,範本,Шаблон,Szablon,Plantilla,Modelo,Vorlage,Şablon,Modello
GUI_QUICK_PHRASE_SYNTAX,Use {{name}} for a variable. Repeated names are requested once.,Utilisez {{name}} pour une variable. Les noms répétés ne sont demandés qu’une fois.,使用 {{name}} 表示变量。重复变量只需填写一次。,変数には {{name}} を使用します。同じ名前の変数は1回だけ入力します。,변수에는 {{name}} 형식을 사용합니다. 같은 이름은 한 번만 입력합니다.,使用 {{name}} 表示變數。重複名稱只需輸入一次。,Используйте {{name}} для переменной. Повторяющиеся имена запрашиваются один раз.,Użyj {{name}} jako zmiennej. Powtarzane nazwy są pytane tylko raz.,Usa {{name}} para una variable. Los nombres repetidos se solicitan una sola vez.,Use {{name}} para uma variável. Nomes repetidos são solicitados apenas uma vez.,Verwenden Sie {{name}} für eine Variable. Wiederholte Namen werden nur einmal abgefragt.,Değişken için {{name}} kullanın. Tekrarlanan adlar yalnızca bir kez istenir.,Usa {{name}} per una variabile. I nomi ripetuti vengono richiesti una sola volta.
GUI_QUICK_PHRASE_SAVE,Save,Enregistrer,保存,保存,저장,儲存,Сохранить,Zapisz,Guardar,Salvar,Speichern,Kaydet,Salva
GUI_QUICK_PHRASE_PREVIEW,Preview,Aperçu,预览,プレビュー,미리보기,預覽,Предпросмотр,Podgląd,Vista previa,Pré-visualização,Vorschau,Önizleme,Anteprima
GUI_QUICK_PHRASE_EDITOR_EDIT,Edit Quick Phrase,Modifier la phrase rapide,编辑快速短语,クイックフレーズを編集,빠른 문구 편집,編輯快速短語,Изменить быструю фразу,Edytuj szybką frazę,Editar frase rápida,Editar frase rápida,Schnelle Phrase bearbeiten,Hızlı İfadeyi Düzenle,Modifica frase rapida
GUI_QUICK_PHRASE_EDITOR_NEW,New Quick Phrase,Nouvelle phrase rapide,新建快速短语,新しいクイックフレーズ,새 빠른 문구,新增快速短語,Новая быстрая фраза,Nowa szybka fraza,Nueva frase rápida,Nova frase rápida,Neue schnelle Phrase,Yeni Hızlı İfade,Nuova frase rapida
CONFIRM_QUICK_PHRASE_DELETE,"Delete quick phrase ""{1}""?",Supprimer la phrase rapide « {1} » ?,删除快速短语“{1}”？,クイックフレーズ「{1}」を削除しますか？,빠른 문구 “{1}”을(를) 삭제하시겠습니까?,要刪除快速短語「{1}」嗎？,Удалить быструю фразу «{1}»?,Usunąć szybką frazę „{1}”?,¿Eliminar la frase rápida «{1}»?,Excluir a frase rápida “{1}”?,Schnelle Phrase „{1}“ löschen?,“{1}” hızlı ifadesi silinsin mi?,Eliminare la frase rapida «{1}»?
MSG_QUICK_PHRASE_SELECT,Please select a quick phrase.,Sélectionnez une phrase rapide.,请选择一个快速短语。,クイックフレーズを選択してください。,빠른 문구를 선택하세요.,請選擇一個快速短語。,Выберите быструю фразу.,Wybierz szybką frazę.,Selecciona una frase rápida.,Selecione uma frase rápida.,Bitte eine schnelle Phrase auswählen.,Lütfen bir hızlı ifade seçin.,Seleziona una frase rapida.
MSG_QUICK_PHRASE_PASTE_FAILED,Could not insert the quick phrase.,Impossible d’insérer la phrase rapide.,无法插入快速短语。,クイックフレーズを挿入できませんでした。,빠른 문구를 삽입할 수 없습니다.,無法插入快速短語。,Не удалось вставить быструю фразу.,Nie można wstawić szybkiej frazy.,No se pudo insertar la frase rápida.,Não foi possível inserir a frase rápida.,Schnelle Phrase konnte nicht eingefügt werden.,Hızlı ifade eklenemedi.,Impossibile inserire la frase rapida.
MSG_QUICK_PHRASE_ENABLED,Quick Phrase shortcut enabled.,Raccourci des phrases rapides activé.,快速短语快捷键已启用。,クイックフレーズのショートカットを有効にしました。,빠른 문구 단축키가 활성화되었습니다.,快速短語快速鍵已啟用。,Сочетание для быстрых фраз включено.,Skrót szybkich fraz został włączony.,Atajo de frases rápidas activado.,Atalho de frases rápidas ativado.,Tastenkürzel für schnelle Phrasen aktiviert.,Hızlı ifade kısayolu etkinleştirildi.,Scorciatoia delle frasi rapide abilitata.
MSG_QUICK_PHRASE_DISABLED,Quick Phrase shortcut disabled.,Raccourci des phrases rapides désactivé.,快速短语快捷键已禁用。,クイックフレーズのショートカットを無効にしました。,빠른 문구 단축키가 비활성화되었습니다.,快速短語快速鍵已停用。,Сочетание для быстрых фраз отключено.,Skrót szybkich fraz został wyłączony.,Atajo de frases rápidas desactivado.,Atalho de frases rápidas desativado.,Tastenkürzel für schnelle Phrasen deaktiviert.,Hızlı ifade kısayolu devre dışı bırakıldı.,Scorciatoia delle frasi rapide disabilitata.
MSG_QUICK_PHRASE_DELETED,Quick phrase deleted.,Phrase rapide supprimée.,快速短语已删除。,クイックフレーズを削除しました。,빠른 문구가 삭제되었습니다.,快速短語已刪除。,Быстрая фраза удалена.,Szybka fraza została usunięta.,Frase rápida eliminada.,Frase rápida excluída.,Schnelle Phrase gelöscht.,Hızlı ifade silindi.,Frase rapida eliminata.
MSG_QUICK_PHRASE_NAME_REQUIRED,Please enter a phrase name.,Saisissez un nom de phrase.,请输入短语名称。,フレーズ名を入力してください。,문구 이름을 입력하세요.,請輸入短語名稱。,Введите название фразы.,Wprowadź nazwę frazy.,Introduce un nombre para la frase.,Digite um nome para a frase.,Bitte einen Phrasennamen eingeben.,Lütfen ifade adını girin.,Inserisci un nome per la frase.
MSG_QUICK_PHRASE_CONTENT_REQUIRED,Please enter template content.,Saisissez le contenu du modèle.,请输入模板内容。,テンプレート内容を入力してください。,템플릿 내용을 입력하세요.,請輸入範本內容。,Введите содержимое шаблона.,Wprowadź zawartość szablonu.,Introduce el contenido de la plantilla.,Digite o conteúdo do modelo.,Bitte Vorlageninhalt eingeben.,Lütfen şablon içeriğini girin.,Inserisci il contenuto del modello.
MSG_QUICK_PHRASE_SAVE_FAILED,Failed to save quick phrase.,Échec de l’enregistrement de la phrase rapide.,保存快速短语失败。,クイックフレーズの保存に失敗しました。,빠른 문구를 저장하지 못했습니다.,儲存快速短語失敗。,Не удалось сохранить быструю фразу.,Nie udało się zapisać szybkiej frazy.,No se pudo guardar la frase rápida.,Falha ao salvar a frase rápida.,Schnelle Phrase konnte nicht gespeichert werden.,Hızlı ifade kaydedilemedi.,Salvataggio della frase rapida non riuscito.
MSG_QUICK_PHRASE_SAVED,Quick phrase saved.,Phrase rapide enregistrée.,快速短语已保存。,クイックフレーズを保存しました。,빠른 문구가 저장되었습니다.,快速短語已儲存。,Быстрая фраза сохранена.,Szybka fraza została zapisana.,Frase rápida guardada.,Frase rápida salva.,Schnelle Phrase gespeichert.,Hızlı ifade kaydedildi.,Frase rapida salvata.
CHEAT_ACT_QUICK_PHRASE,Open the Quick Phrase selector,Ouvrir le sélecteur de phrases rapides,打开快速短语选择器,クイックフレーズ選択画面を開く,빠른 문구 선택기 열기,開啟快速短語選擇器,Открыть выбор быстрых фраз,Otwórz wybór szybkiej frazy,Abrir el selector de frases rápidas,Abrir o seletor de frases rápidas,Schnellauswahl für Phrasen öffnen,Hızlı ifade seçicisini aç,Apri il selettore delle frasi rapide
CHEAT_ACT_GOTO_LINE,Jump to a specified line,Aller à une ligne précise,跳转到指定行,指定した行へ移動,지정한 줄로 이동,跳轉到指定行,Перейти к указанной строке,Przejdź do wskazanego wiersza,Ir a una línea específica,Ir para uma linha específica,Zu einer bestimmten Zeile springen,Belirtilen satıra git,Vai alla riga specificata
CHEAT_ACT_KILL_PROCESS,Terminate a process by PID after confirmation,Terminer un processus par PID après confirmation,确认后按 PID 终止进程,確認後に PID でプロセスを終了,확인 후 PID로 프로세스 종료,確認後依 PID 終止程序,Завершить процесс по PID после подтверждения,Zakończ proces po PID po potwierdzeniu,Terminar un proceso por PID tras la confirmación,Encerrar um processo por PID após confirmação,Prozess nach Bestätigung per PID beenden,Onaydan sonra PID ile işlemi sonlandır,Termina un processo per PID dopo la conferma
CHEAT_ACT_WINDOW_SWITCH,Search and activate an open window,Rechercher et activer une fenêtre ouverte,搜索并激活打开的窗口,開いているウィンドウを検索してアクティブ化,열린 창을 검색하고 활성화,搜尋並啟用開啟的視窗,Найти и активировать открытое окно,Wyszukaj i aktywuj otwarte okno,Buscar y activar una ventana abierta,Pesquisar e ativar uma janela aberta,Ein geöffnetes Fenster suchen und aktivieren,Açık bir pencereyi ara ve etkinleştir,Cerca e attiva una finestra aperta
GUI_GOTO_LINE_TITLE,Jump to line,Aller à la ligne,跳转到指定行,行へ移動,줄로 이동,跳轉到指定行,Перейти к строке,Przejdź do wiersza,Ir a una línea,Ir para uma linha,Zu einer Zeile springen,Satıra git,Vai alla riga
GUI_GOTO_LINE_PROMPT,Enter a positive line number:,Saisissez un numéro de ligne positif :,请输入正整数行号：,正の行番号を入力してください：,양의 줄 번호를 입력하세요:,請輸入正整數行號：,Введите положительный номер строки:,Wprowadź dodatni numer wiersza:,Introduce un número de línea positivo:,Digite um número de linha positivo:,Geben Sie eine positive Zeilennummer ein:,Pozitif bir satır numarası girin:,Inserisci un numero di riga positivo:
MSG_INVALID_LINE,Please enter a positive integer line number.,Veuillez saisir un numéro de ligne entier positif.,请输入正整数行号。,正の整数の行番号を入力してください。,양의 정수 줄 번호를 입력하세요.,請輸入正整數行號。,Введите положительный целочисленный номер строки.,Wprowadź dodatnią liczbę całkowitą jako numer wiersza.,Introduce un número de línea entero positivo.,Digite um número de linha inteiro positivo.,Geben Sie eine positive ganze Zeilennummer ein.,Lütfen pozitif bir tam sayı satır numarası girin.,Inserisci un numero di riga intero positivo.
MSG_TARGET_WINDOW_GONE,The target window is no longer available.,La fenêtre cible n'est plus disponible.,目标窗口已不可用。,対象ウィンドウは利用できなくなりました。,대상 창을 더 이상 사용할 수 없습니다.,目標視窗已不可用。,Целевое окно больше недоступно.,Okno docelowe jest już niedostępne.,La ventana de destino ya no está disponible.,A janela de destino não está mais disponível.,Das Zielfenster ist nicht mehr verfügbar.,Hedef pencere artık kullanılamıyor.,La finestra di destinazione non è più disponibile.
GUI_KILL_PROCESS_TITLE,Terminate process,Terminer le processus,终止进程,プロセスを終了,프로세스 종료,終止程序,Завершить процесс,Zakończ proces,Terminar proceso,Encerrar processo,Prozess beenden,İşlemi sonlandır,Termina processo
GUI_KILL_PROCESS_PROMPT,Enter a positive process ID (PID):,Saisissez un identifiant de processus (PID) positif :,请输入正整数进程 ID（PID）：,正のプロセス ID（PID）を入力してください：,양의 프로세스 ID(PID)를 입력하세요:,請輸入正整數程序 ID（PID）：,Введите положительный идентификатор процесса (PID):,Wprowadź dodatni identyfikator procesu (PID):,Introduce un ID de proceso (PID) positivo:,Digite um ID de processo (PID) positivo:,Geben Sie eine positive Prozess-ID (PID) ein:,Pozitif bir işlem kimliği (PID) girin:,Inserisci un ID di processo (PID) positivo:
MSG_INVALID_PID,Please enter a positive integer PID.,Veuillez saisir un PID entier positif.,请输入正整数 PID。,正の整数の PID を入力してください。,양의 정수 PID를 입력하세요.,請輸入正整數 PID。,Введите положительный целочисленный PID.,Wprowadź dodatni PID jako liczbę całkowitą.,Introduce un PID entero positivo.,Digite um PID inteiro positivo.,Geben Sie eine positive PID als ganze Zahl ein.,Lütfen pozitif bir tam sayı PID girin.,Inserisci un PID intero positivo.
MSG_PROCESS_NOT_FOUND,The specified process no longer exists.,Le processus spécifié n'existe plus.,指定的进程已不存在。,指定したプロセスは存在しません。,지정한 프로세스가 더 이상 존재하지 않습니다.,指定的程序已不存在。,Указанный процесс больше не существует.,Określony proces już nie istnieje.,El proceso especificado ya no existe.,O processo especificado não existe mais.,Der angegebene Prozess existiert nicht mehr.,Belirtilen işlem artık mevcut değil.,Il processo specificato non esiste più.
MSG_PROCESS_QUERY_FAILED,The process could not be queried. It may be protected or access is denied.,Le processus n'a pas pu être interrogé. Il peut être protégé ou l'accès peut être refusé.,无法查询该进程。它可能受保护或访问被拒绝。,プロセスを照会できませんでした。保護されたプロセスか、アクセスが拒否されている可能性があります。,프로세스를 조회할 수 없습니다. 보호된 프로세스이거나 액세스가 거부되었을 수 있습니다.,無法查詢該程序。它可能受保護或存取遭拒絕。,"Не удалось получить сведения о процессе. Возможно, процесс защищён или доступ запрещён.",Nie można odczytać informacji o procesie. Może być chroniony lub dostęp jest zabroniony.,No se pudo consultar el proceso. Puede estar protegido o el acceso puede estar denegado.,Não foi possível consultar o processo. Ele pode estar protegido ou o acesso foi negado.,Der Prozess konnte nicht abgefragt werden. Er ist möglicherweise geschützt oder der Zugriff wurde verweigert.,İşlem sorgulanamadı. Korumalı olabilir veya erişim reddedilmiş olabilir.,Impossibile interrogare il processo. Potrebbe essere protetto o l'accesso potrebbe essere negato.
MSG_UNKNOWN_PROCESS,Unknown process,Processus inconnu,未知进程,不明なプロセス,알 수 없는 프로세스,未知程序,Неизвестный процесс,Nieznany proces,Proceso desconocido,Processo desconhecido,Unbekannter Prozess,Bilinmeyen işlem,Processo sconosciuto
CONFIRM_KILL_PROCESS,Force-terminate this process?\nPID: {1}\nProcess: {2}\nUnsaved data may be lost.,Forcer l'arrêt de ce processus ?\nPID : {1}\nProcessus : {2}\nLes données non enregistrées peuvent être perdues.,强制终止此进程？\nPID：{1}\n进程：{2}\n未保存的数据可能会丢失。,このプロセスを強制終了しますか？\nPID: {1}\nプロセス: {2}\n未保存のデータが失われる可能性があります。,이 프로세스를 강제 종료하시겠습니까?\nPID: {1}\n프로세스: {2}\n저장되지 않은 데이터가 손실될 수 있습니다.,是否強制終止此程序？\nPID：{1}\n程序：{2}\n未儲存的資料可能會遺失。,Принудительно завершить этот процесс?\nPID: {1}\nПроцесс: {2}\nНесохранённые данные могут быть потеряны.,Wymusić zakończenie tego procesu?\nPID: {1}\nProces: {2}\nNiezapisane dane mogą zostać utracone.,¿Forzar la terminación de este proceso?\nPID: {1}\nProceso: {2}\nLos datos no guardados pueden perderse.,Forçar o encerramento deste processo?\nPID: {1}\nProcesso: {2}\nOs dados não salvos podem ser perdidos.,Diesen Prozess zwangsweise beenden?\nPID: {1}\nProzess: {2}\nNicht gespeicherte Daten können verloren gehen.,Bu işlem zorla sonlandırılsın mı?\nPID: {1}\nİşlem: {2}\nKaydedilmemiş veriler kaybolabilir.,Forzare la terminazione di questo processo?\nPID: {1}\nProcesso: {2}\nI dati non salvati potrebbero andare persi.
MSG_PROCESS_CHANGED,The process changed before termination. No action was taken.,Le processus a changé avant l'arrêt. Aucune action n'a été effectuée.,终止前进程已发生变化。未执行任何操作。,終了前にプロセスが変化しました。何も実行されませんでした。,종료 전에 프로세스가 변경되었습니다. 작업을 수행하지 않았습니다.,終止前程序已發生變化。未執行任何操作。,Процесс изменился до завершения. Никаких действий выполнено не было.,Proces zmienił się przed zakończeniem. Nie wykonano żadnej operacji.,El proceso cambió antes de la terminación. No se realizó ninguna acción.,O processo mudou antes do encerramento. Nenhuma ação foi realizada.,Der Prozess hat sich vor dem Beenden geändert. Es wurde keine Aktion ausgeführt.,İşlem sonlandırılmadan önce değişti. Hiçbir işlem yapılmadı.,Il processo è cambiato prima della terminazione. Non è stata eseguita alcuna azione.
MSG_PROCESS_CLOSE_FAILED,The process could not be terminated. It may be protected or access is denied.,Le processus n'a pas pu être terminé. Il peut être protégé ou l'accès peut être refusé.,无法终止该进程。它可能受保护或访问被拒绝。,プロセスを終了できませんでした。保護されたプロセスか、アクセスが拒否されている可能性があります。,프로세스를 종료할 수 없습니다. 보호된 프로세스이거나 액세스가 거부되었을 수 있습니다.,無法終止該程序。它可能受保護或存取遭拒絕。,"Не удалось завершить процесс. Возможно, процесс защищён или доступ запрещён.",Nie można zakończyć procesu. Może być chroniony lub dostęp jest zabroniony.,No se pudo terminar el proceso. Puede estar protegido o el acceso puede estar denegado.,Não foi possível encerrar o processo. Ele pode estar protegido ou o acesso foi negado.,Der Prozess konnte nicht beendet werden. Er ist möglicherweise geschützt oder der Zugriff wurde verweigert.,İşlem sonlandırılamadı. Korumalı olabilir veya erişim reddedilmiş olabilir.,Impossibile terminare il processo. Potrebbe essere protetto o l'accesso potrebbe essere negato.
MSG_PROCESS_TERMINATED,Process {1} ({2}) was terminated.,Le processus {1} ({2}) a été terminé.,进程 {1}（{2}）已终止。,プロセス {1}（{2}）を終了しました。,프로세스 {1}({2})가 종료되었습니다.,程序 {1}（{2}）已終止。,Процесс {1} ({2}) завершён.,Proces {1} ({2}) został zakończony.,El proceso {1} ({2}) terminó.,O processo {1} ({2}) foi encerrado.,Prozess {1} ({2}) wurde beendet.,{1} ({2}) işlemi sonlandırıldı.,Il processo {1} ({2}) è stato terminato.
GUI_WINDOW_SWITCHER_TITLE,Window Switcher,Sélecteur de fenêtres,窗口切换器,ウィンドウ切り替え,창 전환기,視窗切換器,Переключатель окон,Przełącznik okien,Selector de ventanas,Seletor de janelas,Fensterumschalter,Pencere Değiştirici,Selettore finestre
GUI_WINDOW_SWITCHER_HINT,Search by title or application. Press Enter or double-click to activate.,Recherchez par titre ou application. Appuyez sur Entrée ou double-cliquez pour activer.,按标题或应用程序搜索。按 Enter 或双击激活。,タイトルまたはアプリケーションで検索します。Enter またはダブルクリックでアクティブ化します。,제목 또는 애플리케이션으로 검색하세요. Enter 또는 더블클릭으로 활성화합니다.,依標題或應用程式搜尋。按 Enter 或雙擊以啟用。,Поиск по заголовку или приложению. Нажмите Enter или дважды щёлкните для активации.,"Wyszukuj po tytule lub aplikacji. Naciśnij Enter lub kliknij dwukrotnie, aby aktywować.",Busca por título o aplicación. Pulsa Enter o haz doble clic para activar.,Pesquise por título ou aplicativo. Pressione Enter ou clique duas vezes para ativar.,Nach Titel oder Anwendung suchen. Mit Enter oder Doppelklick aktivieren.,Başlığa veya uygulamaya göre arayın. Etkinleştirmek için Enter'a basın veya çift tıklayın.,Cerca per titolo o applicazione. Premi Invio o fai doppio clic per attivare.
GUI_WINDOW_SWITCHER_COL_PROCESS,Application,Application,应用程序,アプリケーション,애플리케이션,應用程式,Приложение,Aplikacja,Aplicación,Aplicativo,Anwendung,Uygulama,Applicazione
GUI_WINDOW_SWITCHER_COL_TITLE,Window,Fenêtre,窗口,ウィンドウ,창,視窗,Окно,Okno,Ventana,Janela,Fenster,Pencere,Finestra
GUI_WINDOW_SWITCHER_ACTIVATE,Activate,Activer,激活,アクティブ化,활성화,啟用,Активировать,Aktywuj,Activar,Ativar,Aktivieren,Etkinleştir,Attiva
GUI_WINDOW_SWITCHER_STATUS,{1} window(s),{1} fenêtre(s),{1} 个窗口,{1} 個のウィンドウ,{1}개 창,{1} 個視窗,{1} окно(а),{1} okno/okna,{1} ventana(s),{1} janela(s),{1} Fenster,{1} pencere,{1} finestra/e
GUI_WINDOW_SWITCHER_EMPTY,No matching windows found.,Aucune fenêtre correspondante trouvée.,未找到匹配的窗口。,一致するウィンドウが見つかりません。,일치하는 창을 찾을 수 없습니다.,找不到符合的視窗。,Подходящие окна не найдены.,Nie znaleziono pasujących okien.,No se encontraron ventanas coincidentes.,Nenhuma janela correspondente encontrada.,Keine passenden Fenster gefunden.,Eşleşen pencere bulunamadı.,Nessuna finestra corrispondente trovata.
